2026-08-11 09:50:39,person,0.87,47.397971,8.546164,0.0
2026-08-11 10:02:17,person,0.86,47.397971,8.546163,-0.0
2026-08-11 10:08:16,person,0.86,47.397971,8.546163,0.2
2026-08-11 10:11:06,person,0.86,47.397971,8.546163,0.2
2026-08-11 12:10:48,person,0.85,47.397971,8.546163,-0.0
2026-08-11 12:27:23,person,0.85,47.397971,8.546163,-0.0
2026-08-11 12:34:12,smoke,0.32,47.397971,8.546163,0.3
2026-08-11 12:34:13,smoke,0.32,47.397971,8.546163,0.3
2026-08-11 12:34:13,smoke,0.32,47.397971,8.546163,0.3
2026-08-11 12:34:14,smoke,0.30,47.397971,8.546163,0.3
2026-08-11 12:34:15,smoke,0.30,47.397971,8.546163,0.3
2026-08-11 12:34:15,smoke,0.30,47.397971,8.546163,0.3
2026-08-11 12:34:21,smoke,0.36,47.397971,8.546163,0.3
2026-08-11 12:34:22,smoke,0.36,47.397971,8.546163,0.3
2026-08-11 12:34:23,smoke,0.36,47.397971,8.546163,0.3
2026-08-11 12:34:23,smoke,0.29,47.397971,8.546163,0.3
2026-08-11 12:34:24,smoke,0.29,47.397971,8.546163,0.3
2026-08-11 12:37:06,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:37:07,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:37:07,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:37:16,smoke,0.34,47.397971,8.546163,0.3
2026-08-11 12:37:16,smoke,0.34,47.397971,8.546163,0.3
2026-08-11 12:37:17,smoke,0.34,47.397971,8.546163,0.3
2026-08-11 12:37:17,smoke,0.33,47.397971,8.546163,0.3
2026-08-11 12:37:18,smoke,0.33,47.397971,8.546163,0.3
2026-08-11 12:39:45,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:45,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:45,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:46,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:47,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:47,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:48,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:48,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:48,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:49,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:49,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:50,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:50,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:51,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:52,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:52,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:53,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:53,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:54,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:55,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:56,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:56,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:57,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:58,smoke,0.31,47.397971,8.546163,0.3
2026-08-11 12:39:59,smoke,0.31,47.397971,8.546163,0.3
